                               Labor Force Data by County, 2006 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN5119500000000   51     195   Wise County, VA                                   2006        17,296       16,526        770      4.5
CN5119700000000   51     197   Wythe County, VA                                  2006        15,000       14,391        609      4.1
CN5119900000000   51     199   York County, VA                                   2006        31,113       30,286        827      2.7
CN5151000000000   51     510   Alexandria city, VA                               2006        86,955       85,042      1,913      2.2
CN5151500000000   51     515   Bedford city, VA                                  2006         2,583        2,486         97      3.8
CN5152000000000   51     520   Bristol city, VA                                  2006         7,944        7,563        381      4.8
CN5153000000000   51     530   Buena Vista city, VA                              2006         3,393        3,278        115      3.4
CN5154000000000   51     540   Charlottesville city, VA                          2006        20,432       19,779        653      3.2
CN5155000000000   51     550   Chesapeake city, VA                               2006       114,347      110,665      3,682      3.2
CN5157000000000   51     570   Colonial Heights city, VA                         2006         9,145        8,854        291      3.2
CN5158000000000   51     580   Covington city, VA                                2006         2,791        2,593        198      7.1
CN5159000000000   51     590   Danville city, VA                                 2006        20,179       18,437      1,742      8.6
CN5159500000000   51     595   Emporia city, VA                                  2006         2,505        2,368        137      5.5
CN5160000000000   51     600   Fairfax city, VA                                  2006        13,248       12,926        322      2.4
CN5161000000000   51     610   Falls Church city, VA                             2006         6,517        6,331        186      2.9
CN5162000000000   51     620   Franklin city, VA                                 2006         3,801        3,623        178      4.7
CN5163000000000   51     630   Fredericksburg city, VA                           2006        11,658       11,200        458      3.9
CN5164000000000   51     640   Galax city, VA                                    2006         3,037        2,854        183      6.0
CN5165000000000   51     650   Hampton city, VA                                  2006        67,228       64,763      2,465      3.7
CN5166000000000   51     660   Harrisonburg city, VA                             2006        21,743       21,100        643      3.0
CN5167000000000   51     670   Hopewell city, VA                                 2006        10,304        9,828        476      4.6
CN5167800000000   51     678   Lexington city, VA                                2006         2,293        2,187        106      4.6
CN5168000000000   51     680   Lynchburg city, VA                                2006        31,962       30,805      1,157      3.6
CN5168300000000   51     683   Manassas city, VA                                 2006        20,294       19,767        527      2.6
CN5168500000000   51     685   Manassas Park city, VA                            2006         6,631        6,479        152      2.3
CN5169000000000   51     690   Martinsville city, VA                             2006         5,841        5,419        422      7.2
CN5170000000000   51     700   Newport News city, VA                             2006        86,322       83,259      3,063      3.5
CN5171000000000   51     710   Norfolk city, VA                                  2006        95,812       91,762      4,050      4.2
CN5172000000000   51     720   Norton city, VA                                   2006         1,516        1,438         78      5.1
CN5173000000000   51     730   Petersburg city, VA                               2006        13,898       13,035        863      6.2
CN5173500000000   51     735   Poquoson city, VA                                 2006         6,307        6,161        146      2.3
CN5174000000000   51     740   Portsmouth city, VA                               2006        45,829       43,823      2,006      4.4
CN5175000000000   51     750   Radford city, VA                                  2006         7,247        6,973        274      3.8
CN5176000000000   51     760   Richmond city, VA                                 2006        95,545       91,159      4,386      4.6
CN5177000000000   51     770   Roanoke city, VA                                  2006        45,534       43,839      1,695      3.7
CN5177500000000   51     775   Salem city, VA                                    2006        13,090       12,703        387      3.0
CN5179000000000   51     790   Staunton city, VA                                 2006        11,256       10,913        343      3.0
CN5180000000000   51     800   Suffolk city, VA                                  2006        39,389       38,025      1,364      3.5
CN5181000000000   51     810   Virginia Beach city, VA                           2006       221,872      215,434      6,438      2.9
CN5182000000000   51     820   Waynesboro city, VA                               2006         9,889        9,576        313      3.2
CN5183000000000   51     830   Williamsburg city, VA                             2006         4,815        4,533        282      5.9
CN5184000000000   51     840   Winchester city, VA                               2006        14,231       13,817        414      2.9
CN5300100000000   53     001   Adams County, WA                                  2006         7,999        7,500        499      6.2
CN5300300000000   53     003   Asotin County, WA                                 2006        10,174        9,743        431      4.2
CN5300500000000   53     005   Benton County, WA                                 2006        82,617       77,938      4,679      5.7
CN5300700000000   53     007   Chelan County, WA                                 2006        39,197       37,193      2,004      5.1
CN5300900000000   53     009   Clallam County, WA                                2006        29,402       27,696      1,706      5.8
CN5301100000000   53     011   Clark County, WA                                  2006       204,406      192,679     11,727      5.7
CN5301300000000   53     013   Columbia County, WA                               2006         1,490        1,363        127      8.5
CN5301500000000   53     015   Cowlitz County, WA                                2006        42,607       39,843      2,764      6.5
CN5301700000000   53     017   Douglas County, WA                                2006        19,996       19,006        990      5.0
CN5301900000000   53     019   Ferry County, WA                                  2006         2,914        2,646        268      9.2
CN5302100000000   53     021   Franklin County, WA                               2006        29,746       27,675      2,071      7.0
CN5302300000000   53     023   Garfield County, WA                               2006         1,036          981         55      5.3
CN5302500000000   53     025   Grant County, WA                                  2006        38,606       36,095      2,511      6.5
CN5302700000000   53     027   Grays Harbor County, WA                           2006        30,780       28,641      2,139      6.9
CN5302900000000   53     029   Island County, WA                                 2006        32,146       30,499      1,647      5.1
CN5303100000000   53     031   Jefferson County, WA                              2006        13,515       12,841        674      5.0
CN5303300000000   53     033   King County, WA                                   2006     1,049,968    1,005,994     43,974      4.2
CN5303500000000   53     035   Kitsap County, WA                                 2006       121,206      115,577      5,629      4.6
CN5303700000000   53     037   Kittitas County, WA                               2006        19,333       18,328      1,005      5.2
CN5303900000000   53     039   Klickitat County, WA                              2006         9,435        8,772        663      7.0
CN5304100000000   53     041   Lewis County, WA                                  2006        30,934       28,808      2,126      6.9
CN5304300000000   53     043   Lincoln County, WA                                2006         4,631        4,371        260      5.6
CN5304500000000   53     045   Mason County, WA                                  2006        24,467       23,049      1,418      5.8
CN5304700000000   53     047   Okanogan County, WA                               2006        20,485       19,142      1,343      6.6
CN5304900000000   53     049   Pacific County, WA                                2006         9,087        8,501        586      6.4
CN5305100000000   53     051   Pend Oreille County, WA                           2006         5,069        4,697        372      7.3
CN5305300000000   53     053   Pierce County, WA                                 2006       371,218      352,360     18,858      5.1
CN5305500000000   53     055   San Juan County, WA                               2006         8,178        7,871        307      3.8
CN5305700000000   53     057   Skagit County, WA                                 2006        56,116       53,232      2,884      5.1
CN5305900000000   53     059   Skamania County, WA                               2006         5,042        4,688        354      7.0
CN5306100000000   53     061   Snohomish County, WA                              2006       360,391      343,723     16,668      4.6
CN5306300000000   53     063   Spokane County, WA                                2006       225,647      214,445     11,202      5.0
CN5306500000000   53     065   Stevens County, WA                                2006        18,013       16,752      1,261      7.0
CN5306700000000   53     067   Thurston County, WA                               2006       123,158      117,515      5,643      4.6
CN5306900000000   53     069   Wahkiakum County, WA                              2006         1,610        1,504        106      6.6
CN5307100000000   53     071   Walla Walla County, WA                            2006        28,517       26,985      1,532      5.4
CN5307300000000   53     073   Whatcom County, WA                                2006       102,264       97,667      4,597      4.5
CN5307500000000   53     075   Whitman County, WA                                2006        20,228       19,426        802      4.0
CN5307700000000   53     077   Yakima County, WA                                 2006       117,626      109,635      7,991      6.8
CN5400100000000   54     001   Barbour County, WV                                2006         6,800        6,442        358      5.3
CN5400300000000   54     003   Berkeley County, WV                               2006        45,770       44,007      1,763      3.9
CN5400500000000   54     005   Boone County, WV                                  2006         9,513        9,102        411      4.3
CN5400700000000   54     007   Braxton County, WV                                2006         6,010        5,705        305      5.1
CN5400900000000   54     009   Brooke County, WV                                 2006        11,055       10,305        750      6.8
CN5401100000000   54     011   Cabell County, WV                                 2006        45,050       43,167      1,883      4.2
CN5401300000000   54     013   Calhoun County, WV                                2006         2,740        2,557        183      6.7
CN5401500000000   54     015   Clay County, WV                                   2006         3,515        3,293        222      6.3
CN5401700000000   54     017   Doddridge County, WV                              2006         2,909        2,769        140      4.8
CN5401900000000   54     019   Fayette County, WV                                2006        18,200       17,258        942      5.2
CN5402100000000   54     021   Gilmer County, WV                                 2006         3,137        3,002        135      4.3
CN5402300000000   54     023   Grant County, WV                                  2006         5,176        4,890        286      5.5
CN5402500000000   54     025   Greenbrier County, WV                             2006        15,766       14,871        895      5.7
CN5402700000000   54     027   Hampshire County, WV                              2006         9,922        9,560        362      3.6
CN5402900000000   54     029   Hancock County, WV                                2006        14,676       13,651      1,025      7.0
CN5403100000000   54     031   Hardy County, WV                                  2006         7,342        7,078        264      3.6
CN5403300000000   54     033   Harrison County, WV                               2006        31,090       29,752      1,338      4.3
CN5403500000000   54     035   Jackson County, WV                                2006        11,936       11,362        574      4.8
CN5403700000000   54     037   Jefferson County, WV                              2006        25,074       24,297        777      3.1
CN5403900000000   54     039   Kanawha County, WV                                2006        92,424       88,719      3,705      4.0
CN5404100000000   54     041   Lewis County, WV                                  2006         7,432        7,082        350      4.7
CN5404300000000   54     043   Lincoln County, WV                                2006         8,029        7,580        449      5.6
CN5404500000000   54     045   Logan County, WV                                  2006        13,018       12,438        580      4.5
CN5404700000000   54     047   McDowell County, WV                               2006         6,995        6,503        492      7.0
CN5404900000000   54     049   Marion County, WV                                 2006        26,422       25,343      1,079      4.1
CN5405100000000   54     051   Marshall County, WV                               2006        15,149       14,354        795      5.2
CN5405300000000   54     053   Mason County, WV                                  2006        10,560        9,884        676      6.4
CN5405500000000   54     055   Mercer County, WV                                 2006        24,558       23,448      1,110      4.5
CN5405700000000   54     057   Mineral County, WV                                2006        13,577       12,947        630      4.6
CN5405900000000   54     059   Mingo County, WV                                  2006         8,667        8,232        435      5.0
CN5406100000000   54     061   Monongalia County, WV                             2006        46,425       44,956      1,469      3.2
CN5406300000000   54     063   Monroe County, WV                                 2006         5,999        5,697        302      5.0
CN5406500000000   54     065   Morgan County, WV                                 2006         7,193        6,882        311      4.3
CN5406700000000   54     067   Nicholas County, WV                               2006        10,761       10,234        527      4.9
CN5406900000000   54     069   Ohio County, WV                                   2006        21,186       20,258        928      4.4
CN5407100000000   54     071   Pendleton County, WV                              2006         3,890        3,739        151      3.9
CN5407300000000   54     073   Pleasants County, WV                              2006         3,206        3,041        165      5.1
CN5407500000000   54     075   Pocahontas County, WV                             2006         3,845        3,571        274      7.1
CN5407700000000   54     077   Preston County, WV                                2006        15,057       14,431        626      4.2
CN5407900000000   54     079   Putnam County, WV                                 2006        27,420       26,390      1,030      3.8
CN5408100000000   54     081   Raleigh County, WV                                2006        33,112       31,738      1,374      4.1
CN5408300000000   54     083   Randolph County, WV                               2006        13,258       12,639        619      4.7
CN5408500000000   54     085   Ritchie County, WV                                2006         4,791        4,570        221      4.6
CN5408700000000   54     087   Roane County, WV                                  2006         5,577        5,255        322      5.8
CN5408900000000   54     089   Summers County, WV                                2006         4,780        4,503        277      5.8
CN5409100000000   54     091   Taylor County, WV                                 2006         7,052        6,710        342      4.8
CN5409300000000   54     093   Tucker County, WV                                 2006         3,086        2,911        175      5.7
CN5409500000000   54     095   Tyler County, WV                                  2006         3,692        3,449        243      6.6
CN5409700000000   54     097   Upshur County, WV                                 2006        10,899       10,427        472      4.3
CN5409900000000   54     099   Wayne County, WV                                  2006        17,827       16,941        886      5.0
CN5410100000000   54     101   Webster County, WV                                2006         3,456        3,274        182      5.3
CN5410300000000   54     103   Wetzel County, WV                                 2006         6,391        5,909        482      7.5
CN5410500000000   54     105   Wirt County, WV                                   2006         2,568        2,425        143      5.6
CN5410700000000   54     107   Wood County, WV                                   2006        41,581       39,704      1,877      4.5
CN5410900000000   54     109   Wyoming County, WV                                2006         8,389        7,961        428      5.1
CN5500100000000   55     001   Adams County, WI                                  2006         9,961        9,302        659      6.6
CN5500300000000   55     003   Ashland County, WI                                2006         9,305        8,744        561      6.0
CN5500500000000   55     005   Barron County, WI                                 2006        25,700       24,290      1,410      5.5
CN5500700000000   55     007   Bayfield County, WI                               2006         8,316        7,787        529      6.4
CN5500900000000   55     009   Brown County, WI                                  2006       137,779      131,561      6,218      4.5
CN5501100000000   55     011   Buffalo County, WI                                2006         8,572        8,233        339      4.0
CN5501300000000   55     013   Burnett County, WI                                2006         8,518        8,023        495      5.8
CN5501500000000   55     015   Calumet County, WI                                2006        25,502       24,467      1,035      4.1
CN5501700000000   55     017   Chippewa County, WI                               2006        33,808       32,076      1,732      5.1
CN5501900000000   55     019   Clark County, WI                                  2006        17,910       16,946        964      5.4
CN5502100000000   55     021   Columbia County, WI                               2006        31,810       30,325      1,485      4.7
CN5502300000000   55     023   Crawford County, WI                               2006         9,722        9,248        474      4.9
CN5502500000000   55     025   Dane County, WI                                   2006       290,457      281,043      9,414      3.2
CN5502700000000   55     027   Dodge County, WI                                  2006        47,440       45,088      2,352      5.0
CN5502900000000   55     029   Door County, WI                                   2006        16,758       15,860        898      5.4
CN5503100000000   55     031   Douglas County, WI                                2006        23,204       22,044      1,160      5.0
CN5503300000000   55     033   Dunn County, WI                                   2006        24,028       22,936      1,092      4.5
CN5503500000000   55     035   Eau Claire County, WI                             2006        55,828       53,622      2,206      4.0
CN5503700000000   55     037   Florence County, WI                               2006         2,599        2,427        172      6.6
CN5503900000000   55     039   Fond du Lac County, WI                            2006        56,796       54,135      2,661      4.7
CN5504100000000   55     041   Forest County, WI                                 2006         5,039        4,708        331      6.6
CN5504300000000   55     043   Grant County, WI                                  2006        27,335       26,120      1,215      4.4
CN5504500000000   55     045   Green County, WI                                  2006        20,394       19,505        889      4.4
CN5504700000000   55     047   Green Lake County, WI                             2006        10,504        9,928        576      5.5
CN5504900000000   55     049   Iowa County, WI                                   2006        14,443       13,821        622      4.3
CN5505100000000   55     051   Iron County, WI                                   2006         3,204        2,943        261      8.1
CN5505300000000   55     053   Jackson County, WI                                2006        10,042        9,493        549      5.5
CN5505500000000   55     055   Jefferson County, WI                              2006        43,081       41,132      1,949      4.5
CN5505700000000   55     057   Juneau County, WI                                 2006        13,554       12,778        776      5.7
CN5505900000000   55     059   Kenosha County, WI                                2006        83,251       78,790      4,461      5.4
CN5506100000000   55     061   Kewaunee County, WI                               2006        11,908       11,382        526      4.4
CN5506300000000   55     063   La Crosse County, WI                              2006        64,049       61,645      2,404      3.8
CN5506500000000   55     065   Lafayette County, WI                              2006         9,217        8,842        375      4.1
CN5506700000000   55     067   Langlade County, WI                               2006        10,920       10,268        652      6.0
CN5506900000000   55     069   Lincoln County, WI                                2006        15,993       15,112        881      5.5
CN5507100000000   55     071   Manitowoc County, WI                              2006        45,676       43,433      2,243      4.9
CN5507300000000   55     073   Marathon County, WI                               2006        75,618       72,396      3,222      4.3
CN5507500000000   55     075   Marinette County, WI                              2006        22,140       20,722      1,418      6.4
CN5507700000000   55     077   Marquette County, WI                              2006         7,878        7,410        468      5.9
CN5507800000000   55     078   Menominee County, WI                              2006         1,678        1,493        185     11.0
CN5507900000000   55     079   Milwaukee County, WI                              2006       457,573      431,734     25,839      5.6
CN5508100000000   55     081   Monroe County, WI                                 2006        24,053       23,028      1,025      4.3
CN5508300000000   55     083   Oconto County, WI                                 2006        20,657       19,407      1,250      6.1
CN5508500000000   55     085   Oneida County, WI                                 2006        20,186       19,016      1,170      5.8
CN5508700000000   55     087   Outagamie County, WI                              2006        96,534       92,093      4,441      4.6
CN5508900000000   55     089   Ozaukee County, WI                                2006        48,806       47,062      1,744      3.6
CN5509100000000   55     091   Pepin County, WI                                  2006         4,110        3,917        193      4.7
CN5509300000000   55     093   Pierce County, WI                                 2006        23,825       22,821      1,004      4.2
CN5509500000000   55     095   Polk County, WI                                   2006        24,322       22,929      1,393      5.7
CN5509700000000   55     097   Portage County, WI                                2006        41,126       39,286      1,840      4.5
CN5509900000000   55     099   Price County, WI                                  2006         8,722        8,243        479      5.5
CN5510100000000   55     101   Racine County, WI                                 2006        99,983       94,354      5,629      5.6
CN5510300000000   55     103   Richland County, WI                               2006        10,001        9,536        465      4.6
CN5510500000000   55     105   Rock County, WI                                   2006        84,664       80,410      4,254      5.0
CN5510700000000   55     107   Rusk County, WI                                   2006         7,933        7,409        524      6.6
CN5510900000000   55     109   St. Croix County, WI                              2006        47,029       44,720      2,309      4.9
CN5511100000000   55     111   Sauk County, WI                                   2006        34,989       33,419      1,570      4.5
CN5511300000000   55     113   Sawyer County, WI                                 2006         9,398        8,797        601      6.4
CN5511500000000   55     115   Shawano County, WI                                2006        22,617       21,474      1,143      5.1
CN5511700000000   55     117   Sheboygan County, WI                              2006        65,688       63,102      2,586      3.9
CN5511900000000   55     119   Taylor County, WI                                 2006        11,019       10,470        549      5.0
CN5512100000000   55     121   Trempealeau County, WI                            2006        16,280       15,582        698      4.3
CN5512300000000   55     123   Vernon County, WI                                 2006        14,484       13,789        695      4.8
CN5512500000000   55     125   Vilas County, WI                                  2006        11,833       11,119        714      6.0
CN5512700000000   55     127   Walworth County, WI                               2006        56,407       53,988      2,419      4.3
CN5512900000000   55     129   Washburn County, WI                               2006         8,139        7,607        532      6.5
CN5513100000000   55     131   Washington County, WI                             2006        74,373       71,313      3,060      4.1
CN5513300000000   55     133   Waukesha County, WI                               2006       217,594      209,389      8,205      3.8
CN5513500000000   55     135   Waupaca County, WI                                2006        28,656       27,231      1,425      5.0
CN5513700000000   55     137   Waushara County, WI                               2006        12,918       12,194        724      5.6
CN5513900000000   55     139   Winnebago County, WI                              2006        92,914       88,774      4,140      4.5
CN5514100000000   55     141   Wood County, WI                                   2006        40,336       38,196      2,140      5.3
CN5600100000000   56     001   Albany County, WY                                 2006        18,921       18,426        495      2.6
CN5600300000000   56     003   Big Horn County, WY                               2006         5,380        5,156        224      4.2
CN5600500000000   56     005   Campbell County, WY                               2006        25,281       24,739        542      2.1
CN5600700000000   56     007   Carbon County, WY                                 2006         7,947        7,680        267      3.4
CN5600900000000   56     009   Converse County, WY                               2006         6,920        6,683        237      3.4
CN5601100000000   56     011   Crook County, WY                                  2006         3,411        3,315         96      2.8
CN5601300000000   56     013   Fremont County, WY                                2006        17,880       17,107        773      4.3
CN5601500000000   56     015   Goshen County, WY                                 2006         5,955        5,724        231      3.9
CN5601700000000   56     017   Hot Springs County, WY                            2006         2,348        2,262         86      3.7
CN5601900000000   56     019   Johnson County, WY                                2006         3,878        3,757        121      3.1
CN5602100000000   56     021   Laramie County, WY                                2006        42,121       40,493      1,628      3.9
CN5602300000000   56     023   Lincoln County, WY                                2006         8,282        7,992        290      3.5
CN5602500000000   56     025   Natrona County, WY                                2006        40,432       39,227      1,205      3.0
CN5602700000000   56     027   Niobrara County, WY                               2006         1,148        1,111         37      3.2
CN5602900000000   56     029   Park County, WY                                   2006        14,362       13,845        517      3.6
CN5603100000000   56     031   Platte County, WY                                 2006         4,028        3,850        178      4.4
CN5603300000000   56     033   Sheridan County, WY                               2006        15,611       15,116        495      3.2
CN5603500000000   56     035   Sublette County, WY                               2006         5,735        5,631        104      1.8
CN5603700000000   56     037   Sweetwater County, WY                             2006        23,690       23,099        591      2.5
CN5603900000000   56     039   Teton County, WY                                  2006        14,164       13,803        361      2.5
CN5604100000000   56     041   Uinta County, WY                                  2006        11,135       10,798        337      3.0
CN5604300000000   56     043   Washakie County, WY                               2006         4,226        4,072        154      3.6
CN5604500000000   56     045   Weston County, WY                                 2006         3,105        2,996        109      3.5
CN7200100000000   72     001   Adjuntas Municipio, PR                            2006         5,651        4,880        771     13.6
CN7200300000000   72     003   Aguada Municipio, PR                              2006        16,423       14,431      1,992     12.1
CN7200500000000   72     005   Aguadilla Municipio, PR                           2006        22,975       20,101      2,874     12.5
CN7200700000000   72     007   Aguas Buenas Municipio, PR                        2006         9,925        8,787      1,138     11.5
CN7200900000000   72     009   Aibonito Municipio, PR                            2006         8,284        7,235      1,049     12.7
CN7201100000000   72     011   Anasco Municipio, PR                              2006        11,280        9,885      1,395     12.4
CN7201300000000   72     013   Arecibo Municipio, PR                             2006        34,977       30,897      4,080     11.7
CN7201500000000   72     015   Arroyo Municipio, PR                              2006         5,926        4,960        966     16.3
CN7201700000000   72     017   Barceloneta Municipio, PR                         2006         7,691        6,588      1,103     14.3
CN7201900000000   72     019   Barranquitas Municipio, PR                        2006         8,077        7,116        961     11.9
CN7202100000000   72     021   Bayamon Municipio, PR                             2006        86,474       79,620      6,854      7.9
CN7202300000000   72     023   Cabo Rojo Municipio, PR                           2006        21,550       19,530      2,020      9.4
CN7202500000000   72     025   Caguas Municipio, PR                              2006        56,670       50,864      5,806     10.2
CN7202700000000   72     027   Camuy Municipio, PR                               2006        13,495       12,033      1,462     10.8
CN7202900000000   72     029   Canovanas Municipio, PR                           2006        15,089       13,210      1,879     12.5
CN7203100000000   72     031   Carolina Municipio, PR                            2006        80,945       74,493      6,452      8.0
CN7203300000000   72     033   Catano Municipio, PR                              2006         8,379        7,496        883     10.5
CN7203500000000   72     035   Cayey Municipio, PR                               2006        16,545       14,514      2,031     12.3
CN7203700000000   72     037   Ceiba Municipio, PR                               2006         6,148        5,449        699     11.4
CN7203900000000   72     039   Ciales Municipio, PR                              2006         5,455        4,610        845     15.5
CN7204100000000   72     041   Cidra Municipio, PR                               2006        16,276       14,396      1,880     11.6
CN7204300000000   72     043   Coamo Municipio, PR                               2006        11,694       10,018      1,676     14.3
CN7204500000000   72     045   Comerio Municipio, PR                             2006         5,034        4,334        700     13.9
CN7204700000000   72     047   Corozal Municipio, PR                             2006        10,974        9,765      1,209     11.0
CN7204900000000   72     049   Culebra Municipio, PR                             2006           903          821         82      9.1
CN7205100000000   72     051   Dorado Municipio, PR                              2006        13,375       12,138      1,237      9.2
CN7205300000000   72     053   Fajardo Municipio, PR                             2006        15,741       13,723      2,018     12.8
CN7205400000000   72     054   Florida Municipio, PR                             2006         4,457        3,783        674     15.1
CN7205500000000   72     055   Guanica Municipio, PR                             2006         6,625        5,646        979     14.8
CN7205700000000   72     057   Guayama Municipio, PR                             2006        15,250       13,056      2,194     14.4
CN7205900000000   72     059   Guayanilla Municipio, PR                          2006         7,142        6,031      1,111     15.6
CN7206100000000   72     061   Guaynabo Municipio, PR                            2006        46,508       43,811      2,697      5.8
CN7206300000000   72     063   Gurabo Municipio, PR                              2006        16,101       14,527      1,574      9.8
CN7206500000000   72     065   Hatillo Municipio, PR                             2006        13,469       11,846      1,623     12.0
CN7206700000000   72     067   Hormigueros Municipio, PR                         2006         6,908        6,165        743     10.8
CN7206900000000   72     069   Humacao Municipio, PR                             2006        21,890       18,772      3,118     14.2
CN7207100000000   72     071   Isabela Municipio, PR                             2006        16,721       14,402      2,319     13.9
CN7207300000000   72     073   Jayuya Municipio, PR                              2006         4,855        4,073        782     16.1
CN7207500000000   72     075   Juana Diaz Municipio, PR                          2006        18,005       15,943      2,062     11.5
