                               Labor Force Data by County, 2009 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2009        24,483       22,365      2,118      8.7
CN0100300000000   01     003   Baldwin County, AL                                2009        81,717       74,619      7,098      8.7
CN0100500000000   01     005   Barbour County, AL                                2009         9,859        8,597      1,262     12.8
CN0100700000000   01     007   Bibb County, AL                                   2009         8,627        7,603      1,024     11.9
CN0100900000000   01     009   Blount County, AL                                 2009        26,235       23,899      2,336      8.9
CN0101100000000   01     011   Bullock County, AL                                2009         3,679        3,165        514     14.0
CN0101300000000   01     013   Butler County, AL                                 2009         8,951        7,638      1,313     14.7
CN0101500000000   01     015   Calhoun County, AL                                2009        53,354       48,065      5,289      9.9
CN0101700000000   01     017   Chambers County, AL                               2009        14,343       11,811      2,532     17.7
CN0101900000000   01     019   Cherokee County, AL                               2009        11,625       10,414      1,211     10.4
CN0102100000000   01     021   Chilton County, AL                                2009        19,249       17,424      1,825      9.5
CN0102300000000   01     023   Choctaw County, AL                                2009         5,064        4,454        610     12.0
CN0102500000000   01     025   Clarke County, AL                                 2009        10,204        8,689      1,515     14.8
CN0102700000000   01     027   Clay County, AL                                   2009         5,545        4,716        829     15.0
CN0102900000000   01     029   Cleburne County, AL                               2009         6,452        5,867        585      9.1
CN0103100000000   01     031   Coffee County, AL                                 2009        21,278       19,668      1,610      7.6
CN0103300000000   01     033   Colbert County, AL                                2009        25,128       22,524      2,604     10.4
CN0103500000000   01     035   Conecuh County, AL                                2009         4,804        3,942        862     17.9
CN0103700000000   01     037   Coosa County, AL                                  2009         4,517        3,867        650     14.4
CN0103900000000   01     039   Covington County, AL                              2009        16,547       14,955      1,592      9.6
CN0104100000000   01     041   Crenshaw County, AL                               2009         6,376        5,784        592      9.3
CN0104300000000   01     043   Cullman County, AL                                2009        38,169       34,684      3,485      9.1
CN0104500000000   01     045   Dale County, AL                                   2009        19,857       18,152      1,705      8.6
CN0104700000000   01     047   Dallas County, AL                                 2009        15,508       12,552      2,956     19.1
CN0104900000000   01     049   DeKalb County, AL                                 2009        29,482       25,720      3,762     12.8
CN0105100000000   01     051   Elmore County, AL                                 2009        36,080       33,038      3,042      8.4
CN0105300000000   01     053   Escambia County, AL                               2009        14,563       12,806      1,757     12.1
CN0105500000000   01     055   Etowah County, AL                                 2009        44,497       39,951      4,546     10.2
CN0105700000000   01     057   Fayette County, AL                                2009         6,873        6,011        862     12.5
CN0105900000000   01     059   Franklin County, AL                               2009        13,063       11,496      1,567     12.0
CN0106100000000   01     061   Geneva County, AL                                 2009        11,059        9,998      1,061      9.6
CN0106300000000   01     063   Greene County, AL                                 2009         3,081        2,660        421     13.7
CN0106500000000   01     065   Hale County, AL                                   2009         6,770        5,907        863     12.7
CN0106700000000   01     067   Henry County, AL                                  2009         7,055        6,352        703     10.0
CN0106900000000   01     069   Houston County, AL                                2009        45,518       41,756      3,762      8.3
CN0107100000000   01     071   Jackson County, AL                                2009        26,037       23,070      2,967     11.4
CN0107300000000   01     073   Jefferson County, AL                              2009       303,911      274,790     29,121      9.6
CN0107500000000   01     075   Lamar County, AL                                  2009         5,455        4,672        783     14.4
CN0107700000000   01     077   Lauderdale County, AL                             2009        42,996       38,914      4,082      9.5
CN0107900000000   01     079   Lawrence County, AL                               2009        15,573       13,674      1,899     12.2
CN0108100000000   01     081   Lee County, AL                                    2009        64,339       58,954      5,385      8.4
CN0108300000000   01     083   Limestone County, AL                              2009        37,945       34,642      3,303      8.7
CN0108500000000   01     085   Lowndes County, AL                                2009         4,820        3,981        839     17.4
CN0108700000000   01     087   Macon County, AL                                  2009         9,234        8,226      1,008     10.9
CN0108900000000   01     089   Madison County, AL                                2009       167,729      155,752     11,977      7.1
CN0109100000000   01     091   Marengo County, AL                                2009         7,985        6,970      1,015     12.7
CN0109300000000   01     093   Marion County, AL                                 2009        12,148       10,341      1,807     14.9
CN0109500000000   01     095   Marshall County, AL                               2009        40,358       36,708      3,650      9.0
CN0109700000000   01     097   Mobile County, AL                                 2009       184,810      166,196     18,614     10.1
CN0109900000000   01     099   Monroe County, AL                                 2009         8,487        6,999      1,488     17.5
CN0110100000000   01     101   Montgomery County, AL                             2009       104,073       94,347      9,726      9.3
CN0110300000000   01     103   Morgan County, AL                                 2009        55,813       50,438      5,375      9.6
CN0110500000000   01     105   Perry County, AL                                  2009         3,691        3,030        661     17.9
CN0110700000000   01     107   Pickens County, AL                                2009         7,932        6,962        970     12.2
CN0110900000000   01     109   Pike County, AL                                   2009        15,667       14,341      1,326      8.5
CN0111100000000   01     111   Randolph County, AL                               2009         9,273        8,037      1,236     13.3
CN0111300000000   01     113   Russell County, AL                                2009        21,305       18,957      2,348     11.0
CN0111500000000   01     115   St. Clair County, AL                              2009        36,391       32,858      3,533      9.7
CN0111700000000   01     117   Shelby County, AL                                 2009        99,121       92,277      6,844      6.9
CN0111900000000   01     119   Sumter County, AL                                 2009         4,689        4,063        626     13.4
CN0112100000000   01     121   Talladega County, AL                              2009        37,237       32,440      4,797     12.9
CN0112300000000   01     123   Tallapoosa County, AL                             2009        17,903       15,732      2,171     12.1
CN0112500000000   01     125   Tuscaloosa County, AL                             2009        88,261       80,269      7,992      9.1
CN0112700000000   01     127   Walker County, AL                                 2009        27,875       24,981      2,894     10.4
CN0112900000000   01     129   Washington County, AL                             2009         6,829        5,906        923     13.5
CN0113100000000   01     131   Wilcox County, AL                                 2009         3,543        2,705        838     23.7
CN0113300000000   01     133   Winston County, AL                                2009         9,343        7,855      1,488     15.9
CN0201300000000   02     013   Aleutians East Borough, AK                        2009         1,129        1,018        111      9.8
CN0201600000000   02     016   Aleutians West Census Area, AK                    2009         2,998        2,788        210      7.0
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2009       153,498      143,508      9,990      6.5
CN0205000000000   02     050   Bethel Census Area, AK                            2009         7,014        6,026        988     14.1
CN0206000000000   02     060   Bristol Bay Borough, AK                           2009         1,042          992         50      4.8
CN0206800000000   02     068   Denali Borough, AK                                2009         1,408        1,292        116      8.2
CN0207000000000   02     070   Dillingham Census Area, AK                        2009         2,146        1,928        218     10.2
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2009        45,913       42,667      3,246      7.1
CN0210000000000   02     100   Haines Borough, AK                                2009         1,414        1,286        128      9.1
CN0211000000000   02     110   Juneau Borough/city, AK                           2009        18,352       17,272      1,080      5.9
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2009        26,846       24,215      2,631      9.8
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2009         8,312        7,721        591      7.1
CN0215000000000   02     150   Kodiak Island Borough, AK                         2009         6,589        6,118        471      7.1
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2009         1,085          997         88      8.1
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2009        42,395       38,634      3,761      8.9
