                               Labor Force Data by County, 2007 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2007        24,440       23,747        693      2.8
CN0100300000000   01     003   Baldwin County, AL                                2007        82,877       80,678      2,199      2.7
CN0100500000000   01     005   Barbour County, AL                                2007        10,312        9,754        558      5.4
CN0100700000000   01     007   Bibb County, AL                                   2007         8,801        8,492        309      3.5
CN0100900000000   01     009   Blount County, AL                                 2007        26,694       25,965        729      2.7
CN0101100000000   01     011   Bullock County, AL                                2007         3,629        3,332        297      8.2
CN0101300000000   01     013   Butler County, AL                                 2007         9,083        8,601        482      5.3
CN0101500000000   01     015   Calhoun County, AL                                2007        54,938       53,088      1,850      3.4
CN0101700000000   01     017   Chambers County, AL                               2007        15,436       14,573        863      5.6
CN0101900000000   01     019   Cherokee County, AL                               2007        11,996       11,566        430      3.6
CN0102100000000   01     021   Chilton County, AL                                2007        19,780       19,204        576      2.9
CN0102300000000   01     023   Choctaw County, AL                                2007         5,174        4,910        264      5.1
CN0102500000000   01     025   Clarke County, AL                                 2007        10,340        9,800        540      5.2
CN0102700000000   01     027   Clay County, AL                                   2007         6,107        5,817        290      4.7
CN0102900000000   01     029   Cleburne County, AL                               2007         6,495        6,291        204      3.1
CN0103100000000   01     031   Coffee County, AL                                 2007        21,110       20,421        689      3.3
CN0103300000000   01     033   Colbert County, AL                                2007        25,395       24,390      1,005      4.0
CN0103500000000   01     035   Conecuh County, AL                                2007         4,954        4,680        274      5.5
CN0103700000000   01     037   Coosa County, AL                                  2007         4,679        4,446        233      5.0
CN0103900000000   01     039   Covington County, AL                              2007        17,095       16,527        568      3.3
CN0104100000000   01     041   Crenshaw County, AL                               2007         6,552        6,309        243      3.7
CN0104300000000   01     043   Cullman County, AL                                2007        39,455       38,321      1,134      2.9
CN0104500000000   01     045   Dale County, AL                                   2007        20,278       19,590        688      3.4
CN0104700000000   01     047   Dallas County, AL                                 2007        15,477       14,362      1,115      7.2
CN0104900000000   01     049   DeKalb County, AL                                 2007        31,040       29,903      1,137      3.7
CN0105100000000   01     051   Elmore County, AL                                 2007        35,888       34,870      1,018      2.8
CN0105300000000   01     053   Escambia County, AL                               2007        14,278       13,627        651      4.6
CN0105500000000   01     055   Etowah County, AL                                 2007        45,487       43,744      1,743      3.8
CN0105700000000   01     057   Fayette County, AL                                2007         7,389        7,090        299      4.0
CN0105900000000   01     059   Franklin County, AL                               2007        13,747       13,202        545      4.0
CN0106100000000   01     061   Geneva County, AL                                 2007        11,558       11,217        341      3.0
CN0106300000000   01     063   Greene County, AL                                 2007         3,277        3,098        179      5.5
CN0106500000000   01     065   Hale County, AL                                   2007         6,970        6,649        321      4.6
CN0106700000000   01     067   Henry County, AL                                  2007         7,535        7,186        349      4.6
CN0106900000000   01     069   Houston County, AL                                2007        47,286       45,935      1,351      2.9
CN0107100000000   01     071   Jackson County, AL                                2007        27,034       25,985      1,049      3.9
CN0107300000000   01     073   Jefferson County, AL                              2007       315,210      304,780     10,430      3.3
CN0107500000000   01     075   Lamar County, AL                                  2007         5,843        5,528        315      5.4
CN0107700000000   01     077   Lauderdale County, AL                             2007        43,294       41,687      1,607      3.7
CN0107900000000   01     079   Lawrence County, AL                               2007        15,825       15,269        556      3.5
CN0108100000000   01     081   Lee County, AL                                    2007        65,445       63,402      2,043      3.1
CN0108300000000   01     083   Limestone County, AL                              2007        36,421       35,375      1,046      2.9
CN0108500000000   01     085   Lowndes County, AL                                2007         4,739        4,431        308      6.5
CN0108700000000   01     087   Macon County, AL                                  2007         8,859        8,446        413      4.7
CN0108900000000   01     089   Madison County, AL                                2007       165,724      161,369      4,355      2.6
CN0109100000000   01     091   Marengo County, AL                                2007         8,145        7,773        372      4.6
CN0109300000000   01     093   Marion County, AL                                 2007        12,967       12,385        582      4.5
CN0109500000000   01     095   Marshall County, AL                               2007        41,398       40,177      1,221      2.9
CN0109700000000   01     097   Mobile County, AL                                 2007       184,725      178,369      6,356      3.4
CN0109900000000   01     099   Monroe County, AL                                 2007         8,924        8,429        495      5.5
CN0110100000000   01     101   Montgomery County, AL                             2007       106,275      102,530      3,745      3.5
CN0110300000000   01     103   Morgan County, AL                                 2007        56,754       55,047      1,707      3.0
CN0110500000000   01     105   Perry County, AL                                  2007         3,525        3,267        258      7.3
CN0110700000000   01     107   Pickens County, AL                                2007         8,013        7,668        345      4.3
CN0110900000000   01     109   Pike County, AL                                   2007        15,594       15,054        540      3.5
CN0111100000000   01     111   Randolph County, AL                               2007         9,484        9,070        414      4.4
CN0111300000000   01     113   Russell County, AL                                2007        21,696       20,561      1,135      5.2
CN0111500000000   01     115   St. Clair County, AL                              2007        36,119       35,064      1,055      2.9
CN0111700000000   01     117   Shelby County, AL                                 2007        99,979       97,741      2,238      2.2
CN0111900000000   01     119   Sumter County, AL                                 2007         4,767        4,498        269      5.6
CN0112100000000   01     121   Talladega County, AL                              2007        38,902       37,163      1,739      4.5
CN0112300000000   01     123   Tallapoosa County, AL                             2007        18,298       17,464        834      4.6
CN0112500000000   01     125   Tuscaloosa County, AL                             2007        89,216       86,699      2,517      2.8
CN0112700000000   01     127   Walker County, AL                                 2007        29,079       28,000      1,079      3.7
CN0112900000000   01     129   Washington County, AL                             2007         6,992        6,634        358      5.1
CN0113100000000   01     131   Wilcox County, AL                                 2007         3,413        3,128        285      8.4
CN0113300000000   01     133   Winston County, AL                                2007        10,277        9,782        495      4.8
CN0201300000000   02     013   Aleutians East Borough, AK                        2007         1,095        1,011         84      7.7
CN0201600000000   02     016   Aleutians West Census Area, AK                    2007         3,092        2,930        162      5.2
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2007       151,388      143,965      7,423      4.9
CN0205000000000   02     050   Bethel Census Area, AK                            2007         6,944        6,089        855     12.3
CN0206000000000   02     060   Bristol Bay Borough, AK                           2007         1,065        1,017         48      4.5
CN0206800000000   02     068   Denali Borough, AK                                2007         1,603        1,507         96      6.0
CN0207000000000   02     070   Dillingham Census Area, AK                        2007         2,046        1,866        180      8.8
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2007        45,476       43,045      2,431      5.3
CN0210000000000   02     100   Haines Borough, AK                                2007         1,447        1,344        103      7.1
CN0211000000000   02     110   Juneau Borough/city, AK                           2007        18,504       17,702        802      4.3
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2007        25,724       23,775      1,949      7.6
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2007         8,236        7,789        447      5.4
CN0215000000000   02     150   Kodiak Island Borough, AK                         2007         6,152        5,781        371      6.0
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2007         1,169        1,107         62      5.3
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2007        39,854       37,097      2,757      6.9
CN0218000000000   02     180   Nome Census Area, AK                              2007         3,794        3,389        405     10.7
CN0218500000000   02     185   North Slope Borough, AK                           2007         4,683        4,440        243      5.2
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2007         2,968        2,658        310     10.4
CN0220100000000   02     201   Prince of Wales-Outer Ketchikan Census Area, AK   2007         2,271        1,974        297     13.1
CN0222000000000   02     220   Sitka Borough/city, AK                            2007         4,645        4,417        228      4.9
CN0223200000000   02     232   Skagway-Hoonah-Angoon Census Area, AK             2007         1,922        1,691        231     12.0
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2007         3,558        3,260        298      8.4
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2007         5,221        4,797        424      8.1
CN0227000000000   02     270   Wade Hampton Census Area, AK                      2007         2,574        2,067        507     19.7
CN0228000000000   02     280   Wrangell-Petersburg Census Area, AK               2007         2,875        2,608        267      9.3
CN0228200000000   02     282   Yakutat Borough/city, AK                          2007           308          288         20      6.5
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2007         2,760        2,393        367     13.3
CN0400100000000   04     001   Apache County, AZ                                 2007        20,001       18,307      1,694      8.5
CN0400300000000   04     003   Cochise County, AZ                                2007        56,810       54,577      2,233      3.9
CN0400500000000   04     005   Coconino County, AZ                               2007        70,178       67,650      2,528      3.6
CN0400700000000   04     007   Gila County, AZ                                   2007        20,994       20,124        870      4.1
CN0400900000000   04     009   Graham County, AZ                                 2007        14,179       13,592        587      4.1
CN0401100000000   04     011   Greenlee County, AZ                               2007         3,967        3,843        124      3.1
CN0401200000000   04     012   La Paz County, AZ                                 2007         7,590        7,215        375      4.9
CN0401300000000   04     013   Maricopa County, AZ                               2007     1,930,208    1,869,662     60,546      3.1
CN0401500000000   04     015   Mohave County, AZ                                 2007        90,679       86,605      4,074      4.5
CN0401700000000   04     017   Navajo County, AZ                                 2007        37,902       35,550      2,352      6.2
CN0401900000000   04     019   Pima County, AZ                                   2007       454,854      438,680     16,174      3.6
CN0402100000000   04     021   Pinal County, AZ                                  2007       110,705      105,841      4,864      4.4
CN0402300000000   04     023   Santa Cruz County, AZ                             2007        16,998       15,789      1,209      7.1
CN0402500000000   04     025   Yavapai County, AZ                                2007        96,833       93,384      3,449      3.6
CN0402700000000   04     027   Yuma County, AZ                                   2007        77,846       67,316     10,530     13.5
CN0500100000000   05     001   Arkansas County, AR                               2007        11,929       10,888      1,041      8.7
CN0500300000000   05     003   Ashley County, AR                                 2007         9,437        8,669        768      8.1
CN0500500000000   05     005   Baxter County, AR                                 2007        17,661       16,704        957      5.4
CN0500700000000   05     007   Benton County, AR                                 2007       104,549      100,627      3,922      3.8
CN0500900000000   05     009   Boone County, AR                                  2007        16,905       16,048        857      5.1
CN0501100000000   05     011   Bradley County, AR                                2007         5,771        5,420        351      6.1
CN0501300000000   05     013   Calhoun County, AR                                2007         2,625        2,448        177      6.7
CN0501500000000   05     015   Carroll County, AR                                2007        13,954       13,351        603      4.3
CN0501700000000   05     017   Chicot County, AR                                 2007         4,972        4,561        411      8.3
CN0501900000000   05     019   Clark County, AR                                  2007        11,016       10,400        616      5.6
CN0502100000000   05     021   Clay County, AR                                   2007         6,718        6,095        623      9.3
CN0502300000000   05     023   Cleburne County, AR                               2007        11,631       10,923        708      6.1
CN0502500000000   05     025   Cleveland County, AR                              2007         4,160        3,923        237      5.7
CN0502700000000   05     027   Columbia County, AR                               2007        10,986       10,269        717      6.5
CN0502900000000   05     029   Conway County, AR                                 2007        10,023        9,536        487      4.9
CN0503100000000   05     031   Craighead County, AR                              2007        45,764       43,472      2,292      5.0
CN0503300000000   05     033   Crawford County, AR                               2007        28,429       27,040      1,389      4.9
CN0503500000000   05     035   Crittenden County, AR                             2007        22,305       20,851      1,454      6.5
CN0503700000000   05     037   Cross County, AR                                  2007         8,416        7,794        622      7.4
CN0503900000000   05     039   Dallas County, AR                                 2007         3,862        3,590        272      7.0
CN0504100000000   05     041   Desha County, AR                                  2007         6,148        5,540        608      9.9
CN0504300000000   05     043   Drew County, AR                                   2007         8,460        7,832        628      7.4
CN0504500000000   05     045   Faulkner County, AR                               2007        54,940       52,532      2,408      4.4
CN0504700000000   05     047   Franklin County, AR                               2007         8,558        8,175        383      4.5
CN0504900000000   05     049   Fulton County, AR                                 2007         5,144        4,888        256      5.0
CN0505100000000   05     051   Garland County, AR                                2007        42,517       40,180      2,337      5.5
CN0505300000000   05     053   Grant County, AR                                  2007         8,545        8,122        423      5.0
CN0505500000000   05     055   Greene County, AR                                 2007        18,586       17,377      1,209      6.5
CN0505700000000   05     057   Hempstead County, AR                              2007        10,924       10,281        643      5.9
CN0505900000000   05     059   Hot Spring County, AR                             2007        15,400       14,581        819      5.3
CN0506100000000   05     061   Howard County, AR                                 2007         6,420        6,071        349      5.4
CN0506300000000   05     063   Independence County, AR                           2007        17,309       16,241      1,068      6.2
CN0506500000000   05     065   Izard County, AR                                  2007         5,418        5,100        318      5.9
CN0506700000000   05     067   Jackson County, AR                                2007         7,853        7,261        592      7.5
CN0506900000000   05     069   Jefferson County, AR                              2007        35,406       32,753      2,653      7.5
CN0507100000000   05     071   Johnson County, AR                                2007        11,388       10,839        549      4.8
CN0507300000000   05     073   Lafayette County, AR                              2007         3,128        2,894        234      7.5
CN0507500000000   05     075   Lawrence County, AR                               2007         7,364        6,860        504      6.8
CN0507700000000   05     077   Lee County, AR                                    2007         3,617        3,278        339      9.4
CN0507900000000   05     079   Lincoln County, AR                                2007         5,019        4,626        393      7.8
CN0508100000000   05     081   Little River County, AR                           2007         6,507        6,236        271      4.2
CN0508300000000   05     083   Logan County, AR                                  2007        10,523        9,999        524      5.0
CN0508500000000   05     085   Lonoke County, AR                                 2007        31,556       30,179      1,377      4.4
CN0508700000000   05     087   Madison County, AR                                2007         7,743        7,427        316      4.1
CN0508900000000   05     089   Marion County, AR                                 2007         7,018        6,638        380      5.4
CN0509100000000   05     091   Miller County, AR                                 2007        19,696       18,817        879      4.5
CN0509300000000   05     093   Mississippi County, AR                            2007        21,511       19,946      1,565      7.3
CN0509500000000   05     095   Monroe County, AR                                 2007         3,878        3,618        260      6.7
CN0509700000000   05     097   Montgomery County, AR                             2007         4,242        4,019        223      5.3
CN0509900000000   05     099   Nevada County, AR                                 2007         4,341        4,095        246      5.7
CN0510100000000   05     101   Newton County, AR                                 2007         3,503        3,325        178      5.1
CN0510300000000   05     103   Ouachita County, AR                               2007        11,995       11,122        873      7.3
CN0510500000000   05     105   Perry County, AR                                  2007         4,812        4,579        233      4.8
CN0510700000000   05     107   Phillips County, AR                               2007         9,016        8,361        655      7.3
CN0510900000000   05     109   Pike County, AR                                   2007         5,214        4,920        294      5.6
CN0511100000000   05     111   Poinsett County, AR                               2007        10,869       10,082        787      7.2
CN0511300000000   05     113   Polk County, AR                                   2007         8,860        8,425        435      4.9
CN0511500000000   05     115   Pope County, AR                                   2007        30,126       28,693      1,433      4.8
CN0511700000000   05     117   Prairie County, AR                                2007         4,414        4,161        253      5.7
CN0511900000000   05     119   Pulaski County, AR                                2007       190,227      181,219      9,008      4.7
CN0512100000000   05     121   Randolph County, AR                               2007         7,628        6,922        706      9.3
CN0512300000000   05     123   St. Francis County, AR                            2007        10,510        9,499      1,011      9.6
CN0512500000000   05     125   Saline County, AR                                 2007        48,828       46,787      2,041      4.2
CN0512700000000   05     127   Scott County, AR                                  2007         4,856        4,632        224      4.6
CN0512900000000   05     129   Searcy County, AR                                 2007         3,610        3,434        176      4.9
CN0513100000000   05     131   Sebastian County, AR                              2007        62,108       58,913      3,195      5.1
CN0513300000000   05     133   Sevier County, AR                                 2007         7,763        7,443        320      4.1
CN0513500000000   05     135   Sharp County, AR                                  2007         6,417        5,985        432      6.7
CN0513700000000   05     137   Stone County, AR                                  2007         4,781        4,509        272      5.7
CN0513900000000   05     139   Union County, AR                                  2007        19,367       18,041      1,326      6.8
CN0514100000000   05     141   Van Buren County, AR                              2007         7,024        6,608        416      5.9
CN0514300000000   05     143   Washington County, AR                             2007       104,345      100,321      4,024      3.9
