                               Labor Force Data by County, 2005 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate

CN0100100000000   01     001   Autauga County, AL                                2005        23,831       23,061        770      3.2
CN0100300000000   01     003   Baldwin County, AL                                2005        76,404       73,819      2,585      3.4
CN0100500000000   01     005   Barbour County, AL                                2005        10,673       10,146        527      4.9
CN0100700000000   01     007   Bibb County, AL                                   2005         8,808        8,471        337      3.8
CN0100900000000   01     009   Blount County, AL                                 2005        26,323       25,517        806      3.1
CN0101100000000   01     011   Bullock County, AL                                2005         3,695        3,394        301      8.1
CN0101300000000   01     013   Butler County, AL                                 2005         9,056        8,556        500      5.5
CN0101500000000   01     015   Calhoun County, AL                                2005        53,629       51,576      2,053      3.8
CN0101700000000   01     017   Chambers County, AL                               2005        16,223       15,428        795      4.9
CN0101900000000   01     019   Cherokee County, AL                               2005        11,973       11,530        443      3.7
CN0102100000000   01     021   Chilton County, AL                                2005        19,574       18,921        653      3.3
CN0102300000000   01     023   Choctaw County, AL                                2005         5,251        4,956        295      5.6
CN0102500000000   01     025   Clarke County, AL                                 2005        10,036        9,488        548      5.5
CN0102700000000   01     027   Clay County, AL                                   2005         5,911        5,661        250      4.2
CN0102900000000   01     029   Cleburne County, AL                               2005         6,625        6,403        222      3.4
CN0103100000000   01     031   Coffee County, AL                                 2005        20,002       19,340        662      3.3
CN0103300000000   01     033   Colbert County, AL                                2005        24,775       23,635      1,140      4.6
CN0103500000000   01     035   Conecuh County, AL                                2005         5,143        4,871        272      5.3
CN0103700000000   01     037   Coosa County, AL                                  2005         4,858        4,650        208      4.3
CN0103900000000   01     039   Covington County, AL                              2005        16,831       16,184        647      3.8
CN0104100000000   01     041   Crenshaw County, AL                               2005         6,146        5,889        257      4.2
CN0104300000000   01     043   Cullman County, AL                                2005        38,290       36,983      1,307      3.4
CN0104500000000   01     045   Dale County, AL                                   2005        20,048       19,289        759      3.8
CN0104700000000   01     047   Dallas County, AL                                 2005        15,809       14,650      1,159      7.3
CN0104900000000   01     049   DeKalb County, AL                                 2005        31,021       29,678      1,343      4.3
CN0105100000000   01     051   Elmore County, AL                                 2005        34,282       33,192      1,090      3.2
CN0105300000000   01     053   Escambia County, AL                               2005        14,218       13,544        674      4.7
CN0105500000000   01     055   Etowah County, AL                                 2005        46,461       44,587      1,874      4.0
CN0105700000000   01     057   Fayette County, AL                                2005         7,838        7,540        298      3.8
CN0105900000000   01     059   Franklin County, AL                               2005        13,690       13,073        617      4.5
CN0106100000000   01     061   Geneva County, AL                                 2005        11,569       11,186        383      3.3
CN0106300000000   01     063   Greene County, AL                                 2005         3,424        3,229        195      5.7
CN0106500000000   01     065   Hale County, AL                                   2005         7,000        6,676        324      4.6
CN0106700000000   01     067   Henry County, AL                                  2005         7,427        7,154        273      3.7
CN0106900000000   01     069   Houston County, AL                                2005        45,873       44,380      1,493      3.3
CN0107100000000   01     071   Jackson County, AL                                2005        26,592       25,453      1,139      4.3
CN0107300000000   01     073   Jefferson County, AL                              2005       315,476      303,569     11,907      3.8
CN0107500000000   01     075   Lamar County, AL                                  2005         6,085        5,794        291      4.8
CN0107700000000   01     077   Lauderdale County, AL                             2005        41,768       39,947      1,821      4.4
CN0107900000000   01     079   Lawrence County, AL                               2005        15,856       15,102        754      4.8
CN0108100000000   01     081   Lee County, AL                                    2005        63,227       61,225      2,002      3.2
CN0108300000000   01     083   Limestone County, AL                              2005        34,915       33,595      1,320      3.8
CN0108500000000   01     085   Lowndes County, AL                                2005         4,896        4,559        337      6.9
CN0108700000000   01     087   Macon County, AL                                  2005         8,633        8,199        434      5.0
CN0108900000000   01     089   Madison County, AL                                2005       158,040      153,233      4,807      3.0
CN0109100000000   01     091   Marengo County, AL                                2005         8,535        8,118        417      4.9
CN0109300000000   01     093   Marion County, AL                                 2005        13,455       12,942        513      3.8
CN0109500000000   01     095   Marshall County, AL                               2005        41,740       40,356      1,384      3.3
CN0109700000000   01     097   Mobile County, AL                                 2005       179,174      171,616      7,558      4.2
CN0109900000000   01     099   Monroe County, AL                                 2005         9,503        9,004        499      5.3
CN0110100000000   01     101   Montgomery County, AL                             2005       104,504      100,440      4,064      3.9
CN0110300000000   01     103   Morgan County, AL                                 2005        55,364       53,241      2,123      3.8
CN0110500000000   01     105   Perry County, AL                                  2005         3,490        3,218        272      7.8
CN0110700000000   01     107   Pickens County, AL                                2005         7,900        7,535        365      4.6
CN0110900000000   01     109   Pike County, AL                                   2005        14,934       14,417        517      3.5
CN0111100000000   01     111   Randolph County, AL                               2005         9,739        9,227        512      5.3
CN0111300000000   01     113   Russell County, AL                                2005        21,319       20,223      1,096      5.1
CN0111500000000   01     115   St. Clair County, AL                              2005        33,574       32,440      1,134      3.4
CN0111700000000   01     117   Shelby County, AL                                 2005        94,338       91,876      2,462      2.6
CN0111900000000   01     119   Sumter County, AL                                 2005         4,814        4,516        298      6.2
CN0112100000000   01     121   Talladega County, AL                              2005        39,425       37,815      1,610      4.1
CN0112300000000   01     123   Tallapoosa County, AL                             2005        18,474       17,766        708      3.8
CN0112500000000   01     125   Tuscaloosa County, AL                             2005        84,402       81,723      2,679      3.2
CN0112700000000   01     127   Walker County, AL                                 2005        29,597       28,484      1,113      3.8
CN0112900000000   01     129   Washington County, AL                             2005         6,828        6,465        363      5.3
CN0113100000000   01     131   Wilcox County, AL                                 2005         3,577        3,293        284      7.9
CN0113300000000   01     133   Winston County, AL                                2005        10,294        9,851        443      4.3
CN0201300000000   02     013   Aleutians East Borough, AK                        2005         1,076          973        103      9.6
CN0201600000000   02     016   Aleutians West Census Area, AK                    2005         3,140        2,961        179      5.7
CN0202000000000   02     020   Anchorage Borough/municipality, AK                2005       148,927      140,752      8,175      5.5
CN0205000000000   02     050   Bethel Census Area, AK                            2005         7,084        6,179        905     12.8
CN0206000000000   02     060   Bristol Bay Borough, AK                           2005           969          912         57      5.9
CN0206800000000   02     068   Denali Borough, AK                                2005         1,587        1,483        104      6.6
CN0207000000000   02     070   Dillingham Census Area, AK                        2005         2,061        1,841        220     10.7
CN0209000000000   02     090   Fairbanks North Star Borough, AK                  2005        45,214       42,577      2,637      5.8
CN0210000000000   02     100   Haines Borough, AK                                2005         1,471        1,339        132      9.0
CN0211000000000   02     110   Juneau Borough/city, AK                           2005        18,336       17,358        978      5.3
CN0212200000000   02     122   Kenai Peninsula Borough, AK                       2005        25,299       23,086      2,213      8.7
CN0213000000000   02     130   Ketchikan Gateway Borough, AK                     2005         7,958        7,423        535      6.7
CN0215000000000   02     150   Kodiak Island Borough, AK                         2005         6,051        5,551        500      8.3
CN0216400000000   02     164   Lake and Peninsula Borough, AK                    2005         1,039          963         76      7.3
CN0217000000000   02     170   Matanuska-Susitna Borough, AK                     2005        36,704       33,906      2,798      7.6
CN0218000000000   02     180   Nome Census Area, AK                              2005         3,976        3,484        492     12.4
CN0218500000000   02     185   North Slope Borough, AK                           2005         3,716        3,382        334      9.0
CN0218800000000   02     188   Northwest Arctic Borough, AK                      2005         3,059        2,696        363     11.9
CN0220100000000   02     201   Prince of Wales-Outer Ketchikan Census Area, AK   2005         2,566        2,230        336     13.1
CN0222000000000   02     220   Sitka Borough/city, AK                            2005         4,741        4,478        263      5.5
CN0223200000000   02     232   Skagway-Hoonah-Angoon Census Area, AK             2005         1,844        1,599        245     13.3
CN0224000000000   02     240   Southeast Fairbanks Census Area, AK               2005         3,308        2,961        347     10.5
CN0226100000000   02     261   Valdez-Cordova Census Area, AK                    2005         5,259        4,759        500      9.5
CN0227000000000   02     270   Wade Hampton Census Area, AK                      2005         2,540        2,010        530     20.9
CN0228000000000   02     280   Wrangell-Petersburg Census Area, AK               2005         2,927        2,632        295     10.1
CN0228200000000   02     282   Yakutat Borough/city, AK                          2005           320          286         34     10.6
CN0229000000000   02     290   Yukon-Koyukuk Census Area, AK                     2005         3,137        2,770        367     11.7
CN0400100000000   04     001   Apache County, AZ                                 2005        19,883       17,799      2,084     10.5
CN0400300000000   04     003   Cochise County, AZ                                2005        55,298       52,643      2,655      4.8
CN0400500000000   04     005   Coconino County, AZ                               2005        67,298       63,996      3,302      4.9
CN0400700000000   04     007   Gila County, AZ                                   2005        20,491       19,280      1,211      5.9
CN0400900000000   04     009   Graham County, AZ                                 2005        12,157       11,427        730      6.0
CN0401100000000   04     011   Greenlee County, AZ                               2005         3,463        3,295        168      4.9
CN0401200000000   04     012   La Paz County, AZ                                 2005         7,637        7,120        517      6.8
CN0401300000000   04     013   Maricopa County, AZ                               2005     1,840,207    1,765,710     74,497      4.0
CN0401500000000   04     015   Mohave County, AZ                                 2005        88,319       84,541      3,778      4.3
CN0401700000000   04     017   Navajo County, AZ                                 2005        37,354       34,349      3,005      8.0
CN0401900000000   04     019   Pima County, AZ                                   2005       437,823      418,214     19,609      4.5
CN0402100000000   04     021   Pinal County, AZ                                  2005        86,678       81,835      4,843      5.6
CN0402300000000   04     023   Santa Cruz County, AZ                             2005        15,912       14,538      1,374      8.6
CN0402500000000   04     025   Yavapai County, AZ                                2005        90,659       86,654      4,005      4.4
CN0402700000000   04     027   Yuma County, AZ                                   2005        75,478       63,459     12,019     15.9
CN0500100000000   05     001   Arkansas County, AR                               2005        11,263       10,488        775      6.9
CN0500300000000   05     003   Ashley County, AR                                 2005         9,595        8,813        782      8.2
CN0500500000000   05     005   Baxter County, AR                                 2005        17,132       16,197        935      5.5
CN0500700000000   05     007   Benton County, AR                                 2005        99,771       96,614      3,157      3.2
CN0500900000000   05     009   Boone County, AR                                  2005        16,653       15,819        834      5.0
CN0501100000000   05     011   Bradley County, AR                                2005         5,479        5,056        423      7.7
CN0501300000000   05     013   Calhoun County, AR                                2005         2,672        2,493        179      6.7
CN0501500000000   05     015   Carroll County, AR                                2005        13,486       12,884        602      4.5
CN0501700000000   05     017   Chicot County, AR                                 2005         4,865        4,388        477      9.8
CN0501900000000   05     019   Clark County, AR                                  2005        10,998       10,339        659      6.0
CN0502100000000   05     021   Clay County, AR                                   2005         7,053        6,475        578      8.2
CN0502300000000   05     023   Cleburne County, AR                               2005        11,580       11,024        556      4.8
CN0502500000000   05     025   Cleveland County, AR                              2005         4,253        4,009        244      5.7
CN0502700000000   05     027   Columbia County, AR                               2005        11,033       10,348        685      6.2
CN0502900000000   05     029   Conway County, AR                                 2005         9,614        9,131        483      5.0
CN0503100000000   05     031   Craighead County, AR                              2005        44,874       42,782      2,092      4.7
CN0503300000000   05     033   Crawford County, AR                               2005        27,313       26,151      1,162      4.3
CN0503500000000   05     035   Crittenden County, AR                             2005        22,400       20,969      1,431      6.4
CN0503700000000   05     037   Cross County, AR                                  2005         8,458        7,829        629      7.4
CN0503900000000   05     039   Dallas County, AR                                 2005         3,848        3,584        264      6.9
CN0504100000000   05     041   Desha County, AR                                  2005         6,056        5,541        515      8.5
CN0504300000000   05     043   Drew County, AR                                   2005         8,632        7,916        716      8.3
CN0504500000000   05     045   Faulkner County, AR                               2005        51,782       49,528      2,254      4.4
CN0504700000000   05     047   Franklin County, AR                               2005         8,483        8,127        356      4.2
CN0504900000000   05     049   Fulton County, AR                                 2005         5,072        4,808        264      5.2
CN0505100000000   05     051   Garland County, AR                                2005        41,735       39,422      2,313      5.5
CN0505300000000   05     053   Grant County, AR                                  2005         8,623        8,212        411      4.8
CN0505500000000   05     055   Greene County, AR                                 2005        18,677       17,616      1,061      5.7
CN0505700000000   05     057   Hempstead County, AR                              2005        10,854       10,242        612      5.6
